Req_ID,Token_size,Model,Hallucination,Unambiguous,Consistent,Complete,Correct,Hidden,,,,,,,,,,
111,0,2,0,1,1,1,1,0,,,,,,,,,,
112,0,2,0,1,1,0,1,0,,,,,,,,,,
113,0,2,0,1,1,0,1,0,,,,,,,,,,
114,0,2,0,1,1,1,1,0,,,,,,,,,,
115,0,2,0,1,1,1,1,0,,,,,,,,,,
116,0,2,0,1,1,0,0,0,,,,,,,,,,
117,0,2,0,1,1,0,1,1,,,,,,,,,,
118,0,2,0,1,1,1,1,0,,,,,,,,,,
119,1,0,0,1,1,0,1,0,,,,,,,,,,
120,1,0,0,1,1,0,1,0,,,,,,,,,,
121,1,0,0,1,1,1,1,0,,,,,,,,,,
122,1,0,0,1,1,1,1,0,,,,,,,,,,
123,1,0,0,1,1,1,1,0,,,,,,,,,,
124,1,0,0,1,1,0,1,0,,,,,,,,,,
125,1,0,0,1,1,1,1,0,,,,,,,,,,
126,1,0,0,1,1,0,1,0,,,,,,,,,,
127,1,1,0,1,1,1,1,0,,,,,,,,,,
128,1,1,0,1,0,1,0,0,,,,,,,,,,
129,1,1,0,1,0,1,1,0,,,,,,,,,,
130,1,1,0,1,1,0,0,0,,,,,,,,,,
131,1,1,0,1,1,0,0,0,,,,,,,,,,
132,1,2,0,1,1,1,1,0,,,,,,,,,,
133,1,2,0,1,1,1,1,0,,,,,,,,,,
134,1,2,0,1,1,1,1,0,,,,,,,,,,
135,1,2,0,1,1,1,1,0,,,,,,,,,,
136,1,2,0,1,1,1,1,0,,,,,,,,,,
137,1,2,0,1,1,0,1,0,,,,,,,,,,
138,1,2,0,1,1,1,1,0,,,,,,,,,,
139,1,2,0,1,1,1,0,1,,,,,,,,,,
140,2,0,0,1,1,1,1,0,,,,,,,,,,
141,2,0,0,1,1,1,1,0,,,,,,,,,,
142,2,0,0,1,1,1,1,0,,,,,,,,,,
143,2,0,0,1,1,1,1,0,,,,,,,,,,
144,2,0,0,1,1,1,1,0,,,,,,,,,,
145,2,0,0,1,1,0,1,0,,,,,,,,,,
146,2,0,0,1,1,0,1,0,,,,,,,,,,
147,2,0,0,1,1,1,1,0,,,,,,,,,,
148,2,0,0,1,1,0,0,0,,,,,,,,,,
149,2,0,0,1,1,0,0,0,,,,,,,,,,
150,2,1,0,1,1,0,1,0,,,,,,,,,,
151,2,1,0,1,1,0,1,0,,,,,,,,,,
152,2,1,0,1,1,0,1,0,,,,,,,,,,
153,2,1,0,1,1,0,1,0,,,,,,,,,,
154,2,1,0,1,1,0,0,0,,,,,,,,,,
155,2,1,0,1,1,0,0,0,,,,,,,,,,
156,2,1,0,1,1,0,1,0,,,,,,,,,,
157,2,1,0,1,1,0,1,0,,,,,,,,,,
158,2,1,0,1,1,0,1,0,,,,,,,,,,
159,2,1,0,1,1,0,1,0,,,,,,,,,,
160,2,1,0,1,1,0,1,0,,,,,,,,,,
161,2,2,0,1,1,1,1,0,,,,,,,,,,
162,2,2,0,1,1,0,1,0,,,,,,,,,,
163,2,2,0,1,1,1,1,0,,,,,,,,,,
164,2,2,0,1,1,1,1,0,,,,,,,,,,
165,2,2,0,1,1,0,0,0,,,,,,,,,,
166,2,2,0,1,1,1,1,0,,,,,,,,,,
167,2,2,0,1,1,1,1,0,,,,,,,,,,
168,2,2,0,1,1,1,1,0,,,,,,,,,,
169,2,2,0,1,1,0,1,0,,,,,,,,,,
170,2,2,0,1,1,0,1,0,,,,,,,,,,
